Input Prompt,Response,Category,Context
"""How can I help my friend who is feeling down?""","""Listen actively, offer support, and encourage them to seek professional help if needed.""",Friendship Support,Supporting a friend in distress.
"""What should I do if I'm feeling disconnected from my purpose?""","""Reflect on your values, set achievable goals, and explore new interests.""",Purpose Exploration,Rediscovering personal purpose.
"""How can I cultivate mindfulness in my daily life?""","""Set aside time for meditation, practice mindful breathing, and engage fully in activities.""",Mindfulness,Integrating mindfulness into daily life.
"""What are some strategies for improving my mental health at work?""","""Set boundaries, take breaks, and seek support from colleagues.""",Workplace Wellness,Enhancing mental health in the workplace.
"""How can I cope with feelings of rejection?""","""Acknowledge your feelings, seek support, and focus on self-care and self-compassion.""",Rejection Management,Managing feelings of rejection.
"""What should I do if I feel like I'm not making progress in therapy?""","""Communicate with your therapist about your feelings, and consider adjusting your goals.""",Therapy Communication,Improving the therapeutic process.
"""How can I manage my time more effectively?""","""Use planners or apps to schedule tasks, set priorities, and take breaks.""",Time Management,Enhancing time management skills.
"""What are the benefits of engaging in creative activities for mental health?""","""Creative activities can reduce stress, enhance self-expression, and improve overall well-being.""",Creative Expression,Utilizing creativity for mental health benefits.
"""How can I support my mental health while studying?""","""Establish a study routine, take regular breaks, and practice self-care.""",Academic Support,Maintaining mental well-being while studying.
"""What should I do if I'm feeling unmotivated?""","""Set small, achievable goals, and seek support from friends or mentors to stay accountable.""",Motivation Strategies,Overcoming feelings of unmotivation.
"""How can I navigate feelings of resentment in my relationships?""","""Communicate openly about your feelings, practice empathy, and consider professional help if needed.""",Relationship Management,Addressing resentment in relationships.
"""What can I do to improve my emotional well-being?""","""Practice self-care, seek support, and engage in activities that bring you joy.""",Emotional Well-Being,Enhancing emotional health and happiness.
"""How can I cope with feelings of inadequacy in my relationships?""","""Reflect on your worth, communicate openly with your partner, and seek professional help if necessary.""",Relationship Health,Managing feelings of inadequacy in relationships.
"""What are some healthy habits I can incorporate into my daily routine?""","""Prioritize sleep, eat well, exercise, and make time for relaxation and hobbies.""",Healthy Living,Building supportive daily habits.
"""How can I deal with feelings of guilt related to my past?""","""Practice self-compassion, seek support, and focus on personal growth.""",Guilt Management,Addressing feelings of guilt and shame.
